Provider,EventId,MarketId,SelectionId,MarketType,Handicap,BetType,EventName,MarketName,StartTime,MaxPrice,MinPrice,Price,BSP,SelectionName,Size,Points,BetId,Chance,Confidence,SourceMarketType
sentrybot,35385455,1.255475786,17833948,MATCH_ODDS,0,BACK,Trento v Triestina,Match Odds,20/03/2026 19:30:00,1000,2.00,0,0,Trento,0,0,,0,100,MATCH_ODDS
sentrybot,35369834,1.255259688,269791,MATCH_ODDS,0,BACK,Amiens v Le Mans,Match Odds,20/03/2026 19:00:00,1000,2.00,0,0,Le Mans,0,0,,0,100,MATCH_ODDS
sentrybot,35369829,1.255263007,44797,MATCH_ODDS,0,BACK,Pau FC v Montpellier,Match Odds,20/03/2026 19:00:00,1000,2.00,0,0,Montpellier,0,0,,0,100,MATCH_ODDS
sentrybot,35381448,1.255436701,184329,MATCH_ODDS,0,BACK,Derry City v Drogheda United,Match Odds,20/03/2026 19:45:00,1000,2.00,0,0,Drogheda United,0,0,,0,100,MATCH_ODDS
sentrybot,35377110,1.255370013,2250353,MATCH_ODDS,0,BACK,Huesca v Almeria,Match Odds,20/03/2026 19:30:00,1000,2.00,0,0,Huesca,0,0,,0,100,MATCH_ODDS
sentrybot,35391009,1.255537485,6601846,MATCH_ODDS,0,BACK,Norwich City v West Bromwich Albion,Match Odds,20/03/2026 19:00:00,1000,2.00,0,0,West Bromwich Albion,0,0,,0,97,MATCH_ODDS
sentrybot,35371776,1.255293311,496950,MATCH_ODDS,0,BACK,Clermont v Red Star,Match Odds,20/03/2026 19:00:00,1000,2.00,0,0,Red Star,0,0,,0,100,HALF_TIME
sentrybot,35338098,1.254835669,1141,MATCH_ODDS,0,BACK,Bournemouth v Manchester United,Match Odds,20/03/2026 20:00:00,1000,2.00,0,0,Bournemouth,0,0,,0,100,MATCH_ODDS
sentrybot,35381238,1.255432419,8942269,MATCH_ODDS,0,BACK,Cambuur Leeuwaarden v Jong AZ Alkmaar,Match Odds,20/03/2026 19:00:00,1000,2.00,0,0,Cambuur Leeuwaarden,0,0,,0,99,MATCH_ODDS
sentrybot,35380205,1.255550982,83920082,MATCH_ODDS,0,BACK,Utah Mammoth v Anaheim Ducks,Moneyline,21/03/2026 02:00:00,1000,2.00,0,0,Utah Mammoth,0,0,,0,90,MATCH_ODDS
sentrybot,35378058,1.255409048,719433,MATCH_ODDS,0,BACK,Villanova v Utah State,Moneyline,20/03/2026 20:10:00,1000,2.00,0,0,Utah State,0,0,,0,100,MATCH_ODDS
sentrybot,35381456,1.255436804,3814,ASIAN_HANDICAP,0,BACK,Bohemians v Dundalk,Asian Handicap,20/03/2026 20:00:00,1000,2.00,0,0,Bohemians -0.25,0,0,,0,100,HALF_TIME
sentrybot,35372471,1.255299024,56295,MATCH_ODDS,0,BACK,Preston North End v Stoke City,Match Odds,20/03/2026 20:00:00,1000,2.00,0,0,Preston North End,0,0,,0,100,HALF_TIME
sentrybot,35374570,1.255326900,6635878,MATCH_ODDS,0,BACK,Motor Lublin v Zaglebie Lubin,Match Odds,20/03/2026 19:30:00,1000,2.00,0,0,Motor Lublin,0,0,,0,100,MATCH_ODDS
sentrybot,35371833,1.255294255,616839,MATCH_ODDS,0,BACK,Estrela da Amadora v Casa Pia,Match Odds,20/03/2026 20:15:00,1000,2.00,0,0,Casa Pia,0,0,,0,88,MATCH_ODDS
sentrybot,35381459,1.255436971,364471,MATCH_ODDS,0,BACK,Waterford v St Patrick´s Athletic,Match Odds,20/03/2026 19:45:00,1000,2.00,0,0,St Patrick´s Athletic,0,0,,0,91,MATCH_ODDS
sentrybot,35381448,1.255436714,298592,ASIAN_HANDICAP,0,BACK,Derry City v Drogheda United,Asian Handicap,20/03/2026 19:45:00,1000,2.00,0,0,Derry City -0.25,0,0,,0,100,HALF_TIME
sentrybot,35383943,1.255460786,10789913,ASIAN_HANDICAP,0,BACK,Llanelli Town v Cardiff Metropolitan University,Asian Handicap,20/03/2026 19:45:00,1000,2.00,0,0,Llanelli Town +0.5,0,0,,0,100,HALF_TIME
sentrybot,35391489,1.255548042,12065479,MATCH_ODDS,0,BACK,Obera Tenis Club v Independiente de Oliva,Moneyline,21/03/2026 00:00:00,1000,2.00,0,0,Obera Tenis Club,0,0,,0,97,HALF_TIME
sentrybot,35371833,1.255294265,5851482,FIRST_HALF_GOALS,0,BACK,Estrela da Amadora v Casa Pia,First Half Goals 0.5,20/03/2026 20:15:00,1000,2.00,0,0,Under 1 Goals,0,0,,0,88,HALF_TIME
sentrybot,35390140,1.255539151,366629,MATCH_ODDS,0,BACK,Tennessee v Miami Ohio,Moneyline,20/03/2026 20:25:00,1000,2.00,0,0,Tennessee,0,0,,0,95,MATCH_ODDS
sentrybot,35384500,1.255567540,237492,ASIAN_HANDICAP,0,BACK,Denver Nuggets v Toronto Raptors,Handicap,21/03/2026 01:00:00,1000,2.00,0,0,Denver Nuggets -5.5,0,0,,0,90,HANDICAP
sentrybot,35381448,1.255436701,298592,MATCH_ODDS,0,BACK,Derry City v Drogheda United,Match Odds,20/03/2026 19:45:00,1000,2.00,0,0,Derry City,0,0,,0,100,MATCH_ODDS
sentrybot,35369914,1.255261778,1193695,MATCH_ODDS,0,BACK,CFR Cluj v Rapid Bucuresti,Match Odds,20/03/2026 19:45:00,1000,2.00,0,0,CFR Cluj,0,0,,0,96,MATCH_ODDS
sentrybot,35369935,1.255545032,392220,MATCH_ODDS,0,BACK,Cobh Ramblers v Bray Wanderers,Match Odds,20/03/2026 19:45:00,1000,2.00,0,0,Cobh Ramblers,0,0,,0,100,MATCH_ODDS
sentrybot,35395576,1.255587931,1069686,MATCH_ODDS,0,BACK,Universidad de Chile v Deportes La Serena,Match Odds,20/03/2026 21:00:00,1000,2.00,0,0,Universidad de Chile,0,0,,0,100,MATCH_ODDS
sentrybot,35374711,1.255329415,26776138,MATCH_ODDS,0,BACK,Asociacion Deportiva Tarma v FBC Melgar,Match Odds,20/03/2026 20:30:00,1000,2.00,0,0,Asociacion Deportiva Tarma,0,0,,0,100,MATCH_ODDS
sentrybot,35390140,1.255539151,366629,MATCH_ODDS,0,BACK,Tennessee v Miami Ohio,Moneyline,20/03/2026 20:32:00,1000,2.00,0,0,Tennessee,0,0,,0,95,MATCH_ODDS
sentrybot,35387456,1.255505173,2224159,MATCH_ODDS,0,BACK,Daejeon Citizen v Jeonbuk Motors,Match Odds,21/03/2026 05:00:00,1000,2.00,0,0,Jeonbuk Motors,0,0,,0,100,MATCH_ODDS
sentrybot,35351309,1.255291052,36700739,MATCH_ODDS,0,BACK,Auckland FC v Macarthur FC,Match Odds,21/03/2026 02:00:00,1000,2.00,0,0,Macarthur FC,0,0,,0,100,MATCH_ODDS
sentrybot,35383951,1.255461645,8349517,MATCH_ODDS,0,BACK,Paju Citizen v Jeonnam Dragons,Match Odds,21/03/2026 05:00:00,1000,2.00,0,0,Jeonnam Dragons,0,0,,0,100,MATCH_ODDS
sentrybot,35351325,1.255291387,3862627,MATCH_ODDS,0,BACK,Brisbane Roar v Wellington Phoenix,Match Odds,21/03/2026 04:00:00,1000,2.00,0,0,Brisbane Roar,0,0,,0,100,MATCH_ODDS
sentrybot,35380209,1.255550685,25600,ASIAN_HANDICAP,0,BACK,Toronto Maple Leafs v Carolina Hurricanes,Handicap,20/03/2026 23:00:00,1000,2.00,0,0,Toronto Maple Leafs +1.5,0,0,,0,90,HANDICAP
sentrybot,35389890,1.255531366,9948447,MATCH_ODDS,0,BACK,Leones v Internacional de Palmira,Match Odds,21/03/2026 00:00:00,1000,2.00,0,0,Leones,0,0,,0,100,MATCH_ODDS
sentrybot,35384496,1.255569168,237493,MATCH_ODDS,0,BACK,Detroit Pistons v Golden State Warriors,Moneyline,20/03/2026 23:30:00,1000,2.00,0,0,Golden State Warriors,0,0,,0,90,MATCH_ODDS
sentrybot,35375571,1.255337916,23228754,MATCH_ODDS,0,BACK,Henan Songshan Longmen v Wuhan Three Towns,Match Odds,21/03/2026 11:00:00,1000,2.00,0,0,Wuhan Three Towns,0,0,,0,100,MATCH_ODDS
sentrybot,35363232,1.255174646,1213581,ASIAN_HANDICAP,0,BACK,Atletico Tucuman v Gimnasia La Plata,Asian Handicap,21/03/2026 00:00:00,1000,2.00,0,0,Gimnasia La Plata +0.25,0,0,,0,96,HALF_TIME
sentrybot,35355772,1.255098430,17328211,ASIAN_HANDICAP,0,BACK,San Lorenzo v Deportivo Rincon,Asian Handicap,21/03/2026 00:15:00,1000,2.00,0,0,Deportivo Rincon +0.75,0,0,,0,100,HALF_TIME
sentrybot,35380886,1.255431282,7097927,MATCH_ODDS,0,BACK,San Martin de San Juan v San Martin de Tucuman,Match Odds,21/03/2026 00:30:00,1000,2.00,0,0,San Martin de Tucuman,0,0,,0,100,MATCH_ODDS
sentrybot,35393005,1.255555636,42554009,PLAYER_HANDICAP,0,BACK,Carlos Alcaraz v Joao Fonseca,Handicap,21/03/2026 01:00:00,1000,2.00,0,0,Joao Fonseca (Games),0,0,,0,68,MATCH_ODDS
sentrybot,35372473,1.255304812,48350,MATCH_ODDS,0,BACK,Blackburn Rovers v Middlesbrough,Match Odds,21/03/2026 12:30:00,1000,2.00,0,0,Blackburn Rovers,0,0,,0,100,MATCH_ODDS
sentrybot,35393576,1.255571876,5852914,MATCH_ODDS,0,BACK,Blaublitz Akita v Vanraure Hachinohe,Match Odds,21/03/2026 05:00:00,1000,2.00,0,0,Blaublitz Akita,0,0,,0,100,MATCH_ODDS
sentrybot,35370892,1.255285243,2955487,MATCH_ODDS,0,BACK,Beijing Guoan v Shanghai Shenhua,Match Odds,21/03/2026 07:30:00,1000,2.00,0,0,Beijing Guoan,0,0,,0,100,HALF_TIME
sentrybot,35376592,1.255358793,30582862,ASIAN_HANDICAP,0,BACK,Mazatlan v Cruz Azul,Asian Handicap,21/03/2026 03:06:00,1000,2.00,0,0,Mazatlan +0.5,0,0,,0,100,HALF_TIME
sentrybot,35387397,1.255503019,5851482,FIRST_HALF_GOALS,0,BACK,Fagiano Okayama v V-Varen Nagasaki,First Half Goals 0.5,21/03/2026 05:00:00,1000,2.00,0,0,Under 1 Goals,0,0,,0,100,HALF_TIME
sentrybot,35387399,1.255502803,5851482,FIRST_HALF_GOALS,0,BACK,Avispa Fukuoka v Gamba Osaka,First Half Goals 0.5,21/03/2026 05:30:00,1000,2.00,0,0,Under 1 Goals,0,0,,0,97,HALF_TIME
sentrybot,35376592,1.255358793,328204,ASIAN_HANDICAP,0,BACK,Mazatlan v Cruz Azul,Asian Handicap,21/03/2026 03:06:00,1000,2.00,0,0,Cruz Azul -0.25,0,0,,0,100,HALF_TIME
sentrybot,35351325,1.255291398,2469649,ASIAN_HANDICAP,0,BACK,Brisbane Roar v Wellington Phoenix,Asian Handicap,21/03/2026 04:00:00,1000,2.00,0,0,Wellington Phoenix +0.25,0,0,,0,100,HALF_TIME
sentrybot,35351325,1.255291387,2469649,MATCH_ODDS,0,BACK,Brisbane Roar v Wellington Phoenix,Match Odds,21/03/2026 04:00:00,1000,2.00,0,0,Wellington Phoenix,0,0,,0,100,MATCH_ODDS
sentrybot,35379106,1.255398736,84958475,MATCH_ODDS,0,BACK,Liaoning Tieren v Tianjin Jinmen Tiger,Match Odds,21/03/2026 07:30:00,1000,2.00,0,0,Liaoning Tieren,0,0,,0,100,MATCH_ODDS
sentrybot,35393573,1.255572146,13432059,MATCH_ODDS,0,BACK,Nagano Parceiro v Iwaki FC,Match Odds,21/03/2026 05:00:00,1000,2.00,0,0,Iwaki FC,0,0,,0,98,MATCH_ODDS
sentrybot,35387456,1.255505173,5352230,MATCH_ODDS,0,BACK,Daejeon Citizen v Jeonbuk Motors,Match Odds,21/03/2026 05:00:00,1000,2.00,0,0,Daejeon Citizen,0,0,,0,100,MATCH_ODDS
sentrybot,35379109,1.255395058,55903803,MATCH_ODDS,0,BACK,Chongqing Tonglianglong v Chengdu Rongcheng,Match Odds,21/03/2026 11:35:00,1000,2.00,0,0,Chongqing Tonglianglong,0,0,,0,100,MATCH_ODDS
