"Provider","EventId","MarketId","SelectionId","MarketType","Handicap","BetType","EventName","MarketName","StartTime"
"sentrybot","35385455","1.255475786","17833948","MATCH_ODDS","0","BACK","Trento v Triestina","Match Odds","2026-03-20 19:30:00"
"sentrybot","35369834","1.255259688","269791","MATCH_ODDS","0","BACK","Amiens v Le Mans","Match Odds","2026-03-20 19:00:00"
"sentrybot","35369829","1.255263007","44797","MATCH_ODDS","0","BACK","Pau FC v Montpellier","Match Odds","2026-03-20 19:00:00"
"sentrybot","35381448","1.255436701","184329","MATCH_ODDS","0","BACK","Derry City v Drogheda United","Match Odds","2026-03-20 19:45:00"
"sentrybot","35377110","1.255370013","2250353","MATCH_ODDS","0","BACK","Huesca v Almeria","Match Odds","2026-03-20 19:30:00"
"sentrybot","35391009","1.255537485","6601846","MATCH_ODDS","0","BACK","Norwich City v West Bromwich Albion","Match Odds","2026-03-20 19:00:00"
"sentrybot","35371776","1.255293311","496950","MATCH_ODDS","0","BACK","Clermont v Red Star","Match Odds","2026-03-20 19:00:00"
"sentrybot","35338098","1.254835669","1141","MATCH_ODDS","0","BACK","Bournemouth v Manchester United","Match Odds","2026-03-20 20:00:00"
"sentrybot","35381238","1.255432419","8942269","MATCH_ODDS","0","BACK","Cambuur Leeuwaarden v Jong AZ Alkmaar","Match Odds","2026-03-20 19:00:00"
"sentrybot","35380205","1.255550982","83920082","MATCH_ODDS","0","BACK","Utah Mammoth v Anaheim Ducks","Moneyline","2026-03-21 02:00:00"
"sentrybot","35378058","1.255409048","719433","MATCH_ODDS","0","BACK","Villanova v Utah State","Moneyline","2026-03-20 20:10:00"
"sentrybot","35381456","1.255436804","3814","ASIAN_HANDICAP","0","BACK","Bohemians v Dundalk","Asian Handicap","2026-03-20 20:00:00"
"sentrybot","35372471","1.255299024","56295","MATCH_ODDS","0","BACK","Preston North End v Stoke City","Match Odds","2026-03-20 20:00:00"
"sentrybot","35374570","1.255326900","6635878","MATCH_ODDS","0","BACK","Motor Lublin v Zaglebie Lubin","Match Odds","2026-03-20 19:30:00"
"sentrybot","35371833","1.255294255","616839","MATCH_ODDS","0","BACK","Estrela da Amadora v Casa Pia","Match Odds","2026-03-20 20:15:00"
